id,resistance,vitesse,satiete,vision,time_lived,food_eaten,distance_traveled,nb_minos,ratio_food
0.0,0.9772531686015293,7.100297238835813,1.74729720413631,248.42359359044067,134.0,1.0,1334.8558809011276,10,1.0
1.0,1.3664042919933252,10.195489781341465,1.6341386850999373,272.5105949034748,256.0,4.0,3639.789851938922,10,1.0
2.0,2.765713495184384,8.06079505733506,1.274191400753107,218.23257624136437,146.0,1.0,1321.9703894029533,10,1.0
3.0,0.1,8.038265047487837,1.6993555379166523,173.41412367623133,13.0,0.0,176.84183104473246,10,1.0
4.0,2.141010360606267,10.324326001558923,1.5385230389335134,218.58050852877597,102.0,0.0,1817.081376274378,10,1.0
5.0,2.286914589324215,5.7174264520153555,0.11511783600786685,187.94962782189498,166.0,2.0,1578.0097007562433,10,1.0
6.0,0.478168952179167,5.154757003422427,1.1187876106609762,276.3296861083964,52.0,1.0,386.60677525668234,10,1.0
7.0,1.3083780782268906,6.752172536320979,0.8136473787417619,268.1160868263539,218.0,3.0,2309.243007421774,10,1.0
8.0,1.922066019300013,5.900072216695959,0.694466205571679,238.31772023459038,116.0,0.0,1203.6147322059765,10,1.0
9.0,1.7978978132388406,5.856849007331574,1.060054392511536,233.80589131199645,118.0,0.0,1206.5108955103055,10,1.0
0.0,3.7335499022538268,9.300448395420766,0.8753223080840902,193.93799564716497,128.0,1.0,1869.3901274795705,10,0.2
1.0,4.039723119952629,7.648260268217669,0.4283277733268186,320.142131551549,106.0,0.0,1246.666423719478,10,0.2
2.0,2.086862905919678,5.322930716066276,1.1351044778155204,268.2635243443643,113.0,0.0,633.4287552118855,10,0.2
3.0,3.398905241239145,4.824721031163094,0.22922513168729142,237.65801129535052,123.0,0.0,834.6767383912172,10,0.2
4.0,3.7300545838960204,8.430235257681254,0.4395872334235129,343.34481782003894,101.0,0.0,1702.9075220516145,10,0.2
5.0,3.1431675557570253,8.002729671660523,0.9906905053056799,292.48057564006933,131.0,1.0,1664.567771705388,10,0.2
6.0,2.8650058172873853,6.7590848340937955,0.8492909100054314,371.38471215281015,110.0,0.0,1101.7308279572858,10,0.2
7.0,0.1163475202796509,10.773472627391998,0.6390608600184571,285.7775651587197,12.0,0.0,226.24292517523207,10,0.2
8.0,3.2358397578916627,8.170208672010434,1.340421057548061,207.29144985748582,138.0,1.0,2050.722376674614,10,0.2
9.0,2.4240728885615885,7.1967936880424945,0.4963262131624018,263.8910842489708,108.0,0.0,1367.3908007280766,10,0.2
0.0,2.301485495411895,9.69245884205866,0.477715416799388,309.05741307476274,118.0,1.0,1502.331120519088,10,0.1111111111111111
1.0,2.808551953103532,11.342652255022202,0.6687605534613109,249.63715033413197,182.0,4.0,2892.3763250306515,10,0.1111111111111111
2.0,2.00899829282351,7.808285594238125,0.9260719290225425,263.8990678197507,105.0,0.0,929.1859857143348,10,0.1111111111111111
3.0,0.41298027625713063,5.2479101357320594,0.6975799389497535,252.51474608010395,40.0,0.0,283.38714732953144,10,0.1111111111111111
4.0,2.149285417714131,7.5036346424234,1.1241290620932498,236.0764994016434,113.0,0.0,1185.5742735028973,10,0.1111111111111111
5.0,2.027226009785818,10.670442845810332,0.6967963247230722,245.99980862452443,98.0,0.0,1387.1575699553473,10,0.1111111111111111
6.0,1.7595102543026022,9.599842760125572,1.3236746882863675,253.37974759734078,101.0,0.0,1843.1698099441073,10,0.1111111111111111
7.0,1.6058643298289852,5.887411172373408,1.3774154932655631,236.3715678168033,112.0,0.0,1118.6081227509471,10,0.1111111111111111
8.0,1.3679555545844608,6.4637392297924565,0.790693701645416,193.80929029701446,113.0,0.0,1066.5169729157594,10,0.1111111111111111
9.0,0.9300643244154057,8.54135369715134,1.3744166299692977,199.67453371391693,82.0,0.0,862.6767234122839,10,0.1111111111111111
0.0,0.29076923675124466,9.257858396963266,0.6506254134608846,228.59633789334538,29.0,0.0,333.28290229067767,10,0.07692307692307693
1.0,2.8173119051953064,10.02966802692282,1.0670597775038788,224.5344324877733,101.0,0.0,1123.3228190153525,10,0.07692307692307693
2.0,2.7652079407054138,7.88168836970484,1.429790656205494,220.91547805561248,109.0,0.0,1040.3828648010403,10,0.07692307692307693
3.0,0.26183538200269996,8.452144697405567,1.0827142135991918,305.05613709753044,25.0,0.0,211.30361743513924,10,0.07692307692307693
4.0,0.3548242129463348,11.938788384938004,1.6766092816114322,249.2826506114778,34.0,0.0,489.4903237824579,10,0.07692307692307693
5.0,2.6733205776572313,6.421961348208548,1.7003252681475762,165.0379347791469,120.0,0.0,873.3867433563638,10,0.07692307692307693
6.0,1.8336695484556795,11.15011259939911,0.4784669021380018,152.13526535457618,103.0,0.0,1482.9649757200816,10,0.07692307692307693
7.0,1.6442643783358806,6.068445181901064,0.9927965189539099,353.06135606397316,138.0,1.0,1559.5904117485784,10,0.07692307692307693
8.0,2.279452381410687,7.031137653583481,1.476516441394577,221.85471889148604,112.0,0.0,885.9233443515207,10,0.07692307692307693
9.0,1.893849342715384,7.066912341344917,0.30094495425727164,264.4792291763754,107.0,0.0,770.2934452065967,10,0.07692307692307693
0.0,1.211631889803035,8.034682241641319,1.0681064285028083,148.45453831403404,106.0,0.0,1092.7167848632207,10,0.058823529411764705
1.0,1.5322323486369847,5.2219241068814375,2.1309923764293957,254.91542997725378,119.0,0.0,684.0720580014695,10,0.058823529411764705
2.0,3.506008116888644,12.542855236552743,0.7556460747843047,318.70903840483385,104.0,1.0,2383.1424949450206,10,0.058823529411764705
3.0,1.5810202877663175,9.577219497285578,1.2277798366657755,325.0012834878887,96.0,0.0,1369.5423881118365,10,0.058823529411764705
4.0,1.358154012071493,7.3461148673790255,0.8041854249480311,267.04648522139655,111.0,0.0,1057.8405409025788,10,0.058823529411764705
5.0,2.910741056614869,6.066746811187258,1.316950872688174,222.28306293775987,117.0,0.0,1383.218272950691,10,0.058823529411764705
6.0,2.3893797533700485,8.015953466144177,0.34599240761905337,139.7225354531247,115.0,0.0,1547.0790189658217,10,0.058823529411764705
7.0,2.7241589857523207,8.881919142634551,0.6669306390895798,221.8093962479598,105.0,0.0,1314.524033109913,10,0.058823529411764705
8.0,1.0835369284256233,5.030499829476005,0.8087110787086969,261.11860818500645,93.0,0.0,804.8799727161586,10,0.058823529411764705
9.0,2.865393228772103,10.265035936005255,1.1510813476654067,280.0179124364002,122.0,1.0,1816.911360672927,10,0.058823529411764705
0.0,0.6841401682545245,10.283515810129995,0.5697524333520841,261.79792926882413,61.0,0.0,709.5625908989691,40,1.0
1.0,2.529897993306892,5.693351497392519,0.9933930114497432,277.78273842220415,161.0,1.0,1474.5780378246668,40,1.0
2.0,0.4668241209635211,5.619042030241117,0.5908650305962106,296.2282531809379,50.0,0.0,455.1424044495308,40,1.0
3.0,2.07791129817656,7.062956431545834,1.408084158613001,224.2911527050969,518.0,12.0,5487.917147311151,40,1.0
4.0,1.5011215970659189,9.60602207118133,1.4080091900455187,193.52024904718877,535.0,18.0,8299.603069500794,40,1.0
5.0,1.1034956999281738,7.469082432245395,0.5633062895356926,294.9976913198965,137.0,1.0,1702.9507945519483,40,1.0
6.0,1.9580583134679246,5.553302500616594,1.1995074871472082,276.69363185305696,512.0,10.0,4287.149530476006,40,1.0
7.0,3.6255186127862125,10.4843169254945,1.3978276435282895,334.0768618417248,638.0,22.0,9886.710860741368,40,1.0
8.0,2.900930142882764,7.720963501229522,0.42402930823321316,263.70869782558873,144.0,1.0,1768.1006417815665,40,1.0
9.0,2.093135192757953,9.203019338792636,1.0283016137638084,299.5855191379811,650.0,31.0,8816.492526563421,40,1.0
10.0,2.7541393945903376,5.661314826968415,0.6522775144506479,164.8259022977415,249.0,4.0,2219.235412171633,40,1.0
11.0,2.198273321255012,10.945438552370199,1.0745867752074993,259.81951320612285,546.0,26.0,8734.459964791433,40,1.0
12.0,1.2187241032818672,8.10855892025341,1.1386407281000865,201.8488077042096,156.0,1.0,2010.9226122228501,40,1.0
13.0,2.567986848770916,10.096413688834698,1.3890121947123433,191.3866276832396,699.0,20.0,10772.873405986666,40,1.0
14.0,1.7060571320542217,5.284246768207172,0.2802208782567278,318.3361245879261,151.0,1.0,1273.5034711379249,40,1.0
15.0,2.2181927249671496,6.8134568986192,0.24859177540282273,153.41054646640106,271.0,6.0,2991.1075784938494,40,1.0
16.0,1.6860708272716305,7.669567549660836,0.8592010171762992,262.0223147230366,355.0,7.0,3873.1316125787002,40,1.0
17.0,3.595193596862599,4.4320237819269135,0.9475233482994335,139.8781880126391,418.0,9.0,2978.3199814549193,40,1.0
18.0,1.32329774563134,5.77542402871269,1.9473693273605472,232.81574449931517,336.0,8.0,3095.6272793899957,40,1.0
19.0,2.1859226759379333,8.447477294321681,0.999870069112072,159.65836628401513,114.0,0.0,1360.0438443857902,40,1.0
20.0,3.2141354272055764,5.010269165575506,0.9067866719005699,218.4254796423043,176.0,1.0,1382.8342896988383,40,1.0
21.0,2.0137071345038753,8.055691703188447,1.8147758285148536,319.4940556124015,200.0,2.0,2416.7075109565317,40,1.0
22.0,2.4236026600604075,9.35515292839961,0.4591105363026817,191.70809719053096,339.0,11.0,4471.763099774994,40,1.0
23.0,1.1060613539559296,5.229141693946911,1.5823430550288686,254.5488084834001,160.0,1.0,1438.0139658354033,40,1.0
24.0,2.836650306670073,8.709717183696007,0.4384215534163296,154.76161835427297,359.0,11.0,4894.861057237106,40,1.0
25.0,2.6994897243222757,5.698027316277157,1.536777962019906,214.3605360966074,205.0,2.0,1931.6312602179537,40,1.0
26.0,2.2709628981561414,5.28340847567228,1.2769005224329195,275.3832056473185,471.0,9.0,3767.070243154367,40,1.0
27.0,2.008107587802826,9.198972854923934,0.21550938394842256,227.2237461524039,454.0,16.0,6117.3169485244625,40,1.0
28.0,1.8348529836371443,8.913482047476617,0.4747603190223745,196.3337889572346,116.0,0.0,1827.2638197327112,40,1.0
29.0,2.1559228645398867,8.64482390297679,1.35603109269534,178.6718522922655,194.0,2.0,2723.119529437709,40,1.0
30.0,0.1,7.954087017712387,1.5402232860303857,253.0447527154832,11.0,0.0,143.17356631882294,40,1.0
31.0,1.4741787546596543,6.497292729360972,0.965218962954357,210.28453645896278,126.0,0.0,1435.9016931887713,40,1.0
32.0,0.1,6.326725303640852,0.35389340378949563,207.8789859048356,12.0,0.0,126.53450607281707,40,1.0
